dataset_role,hypothesis,budget_k,failure_mechanism,usable_feasible_count,usable_recovered_count,recovered_event_ids,unrecovered_event_ids
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,24,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,24,PROBE_ROOT_OR_D_MID_SELECTION,1,1,DVE005,
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,8,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,2,DVE030|DVE037,DVE002
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,8,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,8,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,12,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,2,DVE030|DVE037,DVE002
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,12,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,12,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,16,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,16,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,16,PROBE_ROOT_OR_D_MID_SELECTION,1,1,DVE005,
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,24,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,24,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R2_BALANCED_PHYSICS_SCORE,24,PROBE_ROOT_OR_D_MID_SELECTION,1,1,DVE005,
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,2,DVE030|DVE037,DVE002
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,CANDIDATE_BUDGET_TRUNCATION,2,2,DVE029|DVE039,
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,2,DVE030|DVE037,DVE002
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,CANDIDATE_BUDGET_TRUNCATION,2,2,DVE029|DVE039,
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,CANDIDATE_BUDGET_TRUNCATION,2,2,DVE029|DVE039,
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,PROBE_ROOT_OR_D_MID_SELECTION,1,1,DVE005,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,8,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,8,NOT_IN_REMAINING_MISS_TABLE,11,10,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,VUE036
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,8,PROBE_ROOT_OR_D_MID_SELECTION,5,4,VUE004|VUE008|VUE018|VUE032,VUE026
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,12,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,12,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,12,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,16,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,16,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,16,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,24,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,24,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R1_FEASIBILITY_LEXICOGRAPHIC,24,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,8,CANDIDATE_BUDGET_TRUNCATION,1,0,,VUE025
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,8,NOT_IN_REMAINING_MISS_TABLE,11,10,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,VUE036
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,8,PROBE_ROOT_OR_D_MID_SELECTION,5,3,VUE004|VUE008|VUE018,VUE026|VUE032
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,12,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,12,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,12,PROBE_ROOT_OR_D_MID_SELECTION,5,4,VUE004|VUE008|VUE018|VUE026,VUE032
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,16,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,16,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,16,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,24,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,24,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R2_BALANCED_PHYSICS_SCORE,24,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,NOT_IN_REMAINING_MISS_TABLE,11,10,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,VUE036
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,PROBE_ROOT_OR_D_MID_SELECTION,5,4,VUE004|VUE008|VUE018|VUE032,VUE026
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,CANDIDATE_BUDGET_TRUNCATION,1,1,VUE025,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,2,1,VUE020,VUE035
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,NOT_IN_REMAINING_MISS_TABLE,11,11,VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,
VALIDATION_SEEN_AFTER_V1,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,PROBE_ROOT_OR_D_MID_SELECTION,5,5,VUE004|VUE008|VUE018|VUE026|VUE032,
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,8,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,3,DVE030|DVE037|VUE020,DVE002|VUE035
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,8,NOT_IN_REMAINING_MISS_TABLE,22,20,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,DVE022|VUE036
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,8,PROBE_ROOT_OR_D_MID_SELECTION,6,4,VUE004|VUE008|VUE018|VUE032,DVE005|VUE026
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,12,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,4,DVE002|DVE030|DVE037|VUE020,VUE035
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,12,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,12,PROBE_ROOT_OR_D_MID_SELECTION,6,5,VUE004|VUE008|VUE018|VUE026|VUE032,DVE005
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,16,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,4,DVE002|DVE030|DVE037|VUE020,VUE035
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,16,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,16,PROBE_ROOT_OR_D_MID_SELECTION,6,6,DVE005|VUE004|VUE008|VUE018|VUE026|VUE032,
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,24,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,4,DVE002|DVE030|DVE037|VUE020,VUE035
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,24,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,24,PROBE_ROOT_OR_D_MID_SELECTION,6,6,DVE005|VUE004|VUE008|VUE018|VUE026|VUE032,
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,8,CANDIDATE_BUDGET_TRUNCATION,3,1,DVE029,DVE039|VUE025
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,3,DVE030|DVE037|VUE020,DVE002|VUE035
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,8,NOT_IN_REMAINING_MISS_TABLE,22,20,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,DVE022|VUE036
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,8,PROBE_ROOT_OR_D_MID_SELECTION,6,3,VUE004|VUE008|VUE018,DVE005|VUE026|VUE032
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,12,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,3,DVE030|DVE037|VUE020,DVE002|VUE035
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,12,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,12,PROBE_ROOT_OR_D_MID_SELECTION,6,4,VUE004|VUE008|VUE018|VUE026,DVE005|VUE032
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,16,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,4,DVE002|DVE030|DVE037|VUE020,VUE035
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,16,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,16,PROBE_ROOT_OR_D_MID_SELECTION,6,6,DVE005|VUE004|VUE008|VUE018|VUE026|VUE032,
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,24,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,4,DVE002|DVE030|DVE037|VUE020,VUE035
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,24,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,24,PROBE_ROOT_OR_D_MID_SELECTION,6,6,DVE005|VUE004|VUE008|VUE018|VUE026|VUE032,
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,CANDIDATE_BUDGET_TRUNCATION,3,2,DVE029|VUE025,DVE039
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,3,DVE030|DVE037|VUE020,DVE002|VUE035
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,NOT_IN_REMAINING_MISS_TABLE,22,20,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,DVE022|VUE036
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,PROBE_ROOT_OR_D_MID_SELECTION,6,4,VUE004|VUE008|VUE018|VUE032,DVE005|VUE026
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,CANDIDATE_BUDGET_TRUNCATION,3,3,DVE029|DVE039|VUE025,
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,3,DVE030|DVE037|VUE020,DVE002|VUE035
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,NOT_IN_REMAINING_MISS_TABLE,22,21,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038|VUE005|VUE006|VUE007|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,DVE022
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,PROBE_ROOT_OR_D_MID_SELECTION,6,5,VUE004|VUE008|VUE018|VUE026|VUE032,DVE005
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,CANDIDATE_BUDGET_TRUNCATION,3,3,DVE029|DVE039|VUE025,
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,5,4,DVE002|DVE030|DVE037|VUE020,VUE035
