dataset_role,event_id,variant,metric,baseline_positive,retained_positive,sensitivity_label,retained_witness_sources,declared_subset_of_oracle_v2,continuous_completeness_claim
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,BASELINE_ORACLE_V2,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,BASELINE_ORACLE_V2,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,COARSE_GRID_0P02,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,COARSE_GRID_0P02,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,NARROW_D_MID_1P25,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,NARROW_D_MID_1P25,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,MINIMUM_TRANSITION_PAIR_ONLY,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,NO_FROZEN_FACTOR_ANCHORS,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,NO_FROZEN_FACTOR_ANCHORS,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,BASELINE_ORACLE_V2,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,BASELINE_ORACLE_V2,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,COARSE_GRID_0P02,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,COARSE_GRID_0P02,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,NARROW_D_MID_1P25,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,NARROW_D_MID_1P25,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,MINIMUM_TRANSITION_PAIR_ONLY,HARD,True,False,INCONCLUSIVE_WITNESS_NOT_RETAINED,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,True,False,INCONCLUSIVE_WITNESS_NOT_RETAINED,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,NO_FROZEN_FACTOR_ANCHORS,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,NO_FROZEN_FACTOR_ANCHORS,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,BASELINE_ORACLE_V2,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,BASELINE_ORACLE_V2,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,COARSE_GRID_0P02,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,COARSE_GRID_0P02,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,NARROW_D_MID_1P25,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,NARROW_D_MID_1P25,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,MINIMUM_TRANSITION_PAIR_ONLY,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,NO_FROZEN_FACTOR_ANCHORS,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,NO_FROZEN_FACTOR_ANCHORS,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,BASELINE_ORACLE_V2,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,BASELINE_ORACLE_V2,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,COARSE_GRID_0P02,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,COARSE_GRID_0P02,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,NARROW_D_MID_1P25,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,NARROW_D_MID_1P25,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,MINIMUM_TRANSITION_PAIR_ONLY,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,NO_FROZEN_FACTOR_ANCHORS,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E05,NO_FROZEN_FACTOR_ANCHORS,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,BASELINE_ORACLE_V2,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,BASELINE_ORACLE_V2,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,COARSE_GRID_0P02,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,COARSE_GRID_0P02,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,NARROW_D_MID_1P25,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,NARROW_D_MID_1P25,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,MINIMUM_TRANSITION_PAIR_ONLY,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,NO_FROZEN_FACTOR_ANCHORS,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E06,NO_FROZEN_FACTOR_ANCHORS,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,BASELINE_ORACLE_V2,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,BASELINE_ORACLE_V2,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,COARSE_GRID_0P02,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,COARSE_GRID_0P02,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,NARROW_D_MID_1P25,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,NARROW_D_MID_1P25,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,MINIMUM_TRANSITION_PAIR_ONLY,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,NO_FROZEN_FACTOR_ANCHORS,HARD,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E07,NO_FROZEN_FACTOR_ANCHORS,USABLE,False,False,NEGATIVE_RETAINED_BY_SUBSET_MONOTONICITY,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,BASELINE_ORACLE_V2,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,BASELINE_ORACLE_V2,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,COARSE_GRID_0P02,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,COARSE_GRID_0P02,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,NARROW_D_MID_1P25,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,NARROW_D_MID_1P25,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST|R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,MINIMUM_TRANSITION_PAIR_ONLY,HARD,True,False,INCONCLUSIVE_WITNESS_NOT_RETAINED,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,True,False,INCONCLUSIVE_WITNESS_NOT_RETAINED,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,NO_FROZEN_FACTOR_ANCHORS,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E08,NO_FROZEN_FACTOR_ANCHORS,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,R1_FEASIBILITY_LEXICOGRAPHIC_SELECTED|R2_BALANCED_PHYSICS_SCORE_SELECTED|R3_LEXICOGRAPHIC_COVERAGE_RESERVE_SELECTED,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,BASELINE_ORACLE_V2,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,BASELINE_ORACLE_V2,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST,False,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,COARSE_GRID_0P02,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,COARSE_GRID_0P02,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,NARROW_D_MID_1P25,HARD,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,NARROW_D_MID_1P25,USABLE,True,True,POSITIVE_RETAINED_BY_EXACT_VALID_WITNESS,H3_FIXED_BOUNDED_BEST|H4A_GEOMETRY_TRANSITION_BEST|H4B_GEOMETRY_LATERAL_TRANSITION_BEST|ORACLE_V2_BEST,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,MINIMUM_TRANSITION_PAIR_ONLY,HARD,True,False,INCONCLUSIVE_WITNESS_NOT_RETAINED,,True,False
PILOT_SEEN_DEVELOPMENT_DATA,V2E09,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,True,False,INCONCLUSIVE_WITNESS_NOT_RETAINED,,True,False
