development_event_id,dataset_role,episode_id,bag,elapsed_s,callback_sequence,evaluation_sequence,exact_lineage_and_reconstruction_parity,production_hard_valid_count,oracle_hard_valid_count,mechanism_class,classification_evidence,production_stage,production_template,side,production_d_target,production_d_mid,nearest_oracle_valid_d_mid,representative_side,representative_d_target,representative_d_mid,production_s_probe,production_d_probe,d_oracle_at_production_s_probe,required_delta_d_probe_m,branch_filter_pass_if_anchor_changed,root_bound_pass_if_anchor_changed,root_lower_bound,root_upper_bound,root_bound_rule,station_sweep_min_abs_residual_m,station_sweep_argmin_m,station_sweep_zero_crossing,production_entry_scale,production_exit_scale,oracle_entry_scale,oracle_exit_scale
DVE018,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0039,rosbag2_2026_08_24-19_00_30,503.810092178,17837,1,True,0,211,TEMPLATE_OR_TRANSITION_SELECTION,exact production d_target and d_mid valid with another existing entry/exit pair,,,,,,,RIGHT,-0.40484246495566689,-0.40484246495566689,,,,,,,,,,,,,0.5145810930150512,0.4971684162574945,0.51458109301505117,3.9473573093269398
DVE019,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0046,rosbag2_2026_08_24-19_00_30,521.070291282,18496,1,True,0,364,TEMPLATE_OR_TRANSITION_SELECTION,same target and scales need d_mid freedom absent from zero-interface template; no analytic probe exists,M1,ZERO_BOUNDARY_SHORT,RIGHT,-0.6428757899068773,-0.6428757899068773,-0.64999999999999925,,,,,,,,,,,,,,,,,,,
DVE020,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0046,rosbag2_2026_08_25-09_59_22,943.440243488,36131,1,True,0,514,OTHER,oracle validity requires a different target and/or other P3 degrees; no direct probe or transition isolation,,,,,,,RIGHT,-0.58999999999999997,-0.60999999999999921,,,,,,,,,,,,,,,,
DVE022,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0020,rosbag2_2026_08_24-19_00_30,456.340144384,16031,1,True,0,294,TEMPLATE_OR_TRANSITION_SELECTION,same target and scales need d_mid freedom absent from zero-interface template; no analytic probe exists,M1,ZERO_BOUNDARY_SPAN,LEFT,0.159921875,0.159921875,0.25000000000000078,,,,,,,,,,,,,,,,,,,
DVE023,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0021,rosbag2_2026_08_24-19_24_17,337.010090849,13306,1,True,0,200,TEMPLATE_OR_TRANSITION_SELECTION,same target and scales need d_mid freedom absent from zero-interface template; no analytic probe exists,M1,ZERO_BOUNDARY_SHORT,LEFT,0.5350636300257747,0.5350636300257747,0.55000000000000082,,,,,,,,,,,,,,,,,,,
DVE024,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0029,rosbag2_2026_08_24-19_24_17,440.410079648,17339,1,True,0,440,TEMPLATE_OR_TRANSITION_SELECTION,exact production d_target and d_mid valid with another existing entry/exit pair,,,,,,,RIGHT,-0.46279726164999496,-0.46279726164999496,,,,,,,,,,,,,0.5145810930150512,0.4971684162574945,1.310934367577036,3.9473573093269398
DVE029,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0099,rosbag2_2026_08_24-19_00_30,781.420081134,28697,1,True,0,140,TEMPLATE_OR_TRANSITION_SELECTION,exact production d_target and d_mid valid with another existing entry/exit pair,,,,,,,RIGHT,-0.40974042882603501,-0.40974042882603501,,,,,,,,,,,,,0.5145810930150512,0.4971684162574945,1.310934367577036,0.59338966314589303
DVE030,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0064,rosbag2_2026_08_24-19_00_30,549.62009893,19593,1,True,0,440,OTHER,oracle validity requires a different target and/or other P3 degrees; no direct probe or transition isolation,,,,,,,LEFT,0.27328719588206707,0.050000000000000766,,,,,,,,,,,,,,,,
DVE031,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0028,rosbag2_2026_08_24-19_00_30,501.330131488,17767,1,True,0,130,TEMPLATE_OR_TRANSITION_SELECTION,exact production d_target and d_mid valid with another existing entry/exit pair,,,,,,,RIGHT,-0.39937575623759919,-0.39937575623759919,,,,,,,,,,,,,0.5145810930150512,0.4971684162574945,1.310934367577036,3.9473573093269398
DVE032,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0054,rosbag2_2026_08_24-19_00_30,541.540084109,19304,1,True,0,16,OTHER,oracle validity requires a different target and/or other P3 degrees; no direct probe or transition isolation,,,,,,,LEFT,0.57000000000000006,0.37000000000000005,,,,,,,,,,,,,,,,
DVE037,DEVELOPMENT,rosbag2_2026_08_24-19_00_30__EP0096,rosbag2_2026_08_24-19_00_30,690.370080558,25075,1,True,0,888,OTHER,oracle validity requires a different target and/or other P3 degrees; no direct probe or transition isolation,,,,,,,LEFT,0.63,0.65000000000000002,,,,,,,,,,,,,,,,
DVE038,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0072,rosbag2_2026_08_25-09_59_22,955.040083764,36595,1,True,0,1239,TEMPLATE_OR_TRANSITION_SELECTION,same target and scales need d_mid freedom absent from zero-interface template; no analytic probe exists,M1,ZERO_BOUNDARY_SPAN,RIGHT,-0.47832715344358734,-0.47832715344358734,-0.49999999999999917,,,,,,,,,,,,,,,,,,,
DVE039,DEVELOPMENT,rosbag2_2026_08_25-09_59_22__EP0080,rosbag2_2026_08_25-09_59_22,1016.13025888,39020,1,True,0,1197,S_PROBE_DOMINANT,current anchor policy intersects oracle path at another station within 1e-4 m,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,LEFT,0.28893162081239143,0.3689316208123912,0.40000000000000074,,,,5.7227711200737,0.36893162081239145,0.40000000000000063,0.031068379187609185,True,True,0.28893162081239143,0.9474999999999999,M0_V1_MID_INTERVAL_PLUS_SIDE_MONOTONICITY,7.623015664875998e-05,5.7024232580724945,True,,,,
