case_id,corpus,primary_taxonomy,witness_path_digest,stage_A_exact_lateral_present,stage_B_exact_transition_present,stage_C_exact_pair_eligible,stage_D_in_B128,stage_E_in_ordered_top12,stage_F_reconstructed_by_frozen_gqsc,stage_G_final_selected,audit_counterfactual_exact_validator_hard_valid,fixability_class,mechanism_detail
RP2_32,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_36,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_39,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_42,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_43,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_45,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_51,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,EMPTY_DIRECT_TRANSITION_SET_AFTER_NO_VALID_SIDE_GEOMETRY
RP2_55,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_59,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_60,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_75,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_78,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_81,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_82,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_83,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_84,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_86,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_87,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_88,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_91,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_93,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_95,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_105,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_108,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_109,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_110,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_112,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_119,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_122,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_123,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_124,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_129,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_135,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_136,RULE_PROPERTY,TOP12_RANKING_DISPLACEMENT,9418aa4c7387899d,YES,YES,YES,YES,NO,NO,NO,1,SELECTION_ONLY,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12
RP2_141,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_142,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_145,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_153,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_154,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_156,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_157,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_159,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_160,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_163,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_167,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_169,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_171,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_176,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_181,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_183,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_184,RULE_PROPERTY,TOP12_RANKING_DISPLACEMENT,0e575a4388e20448,YES,YES,YES,YES,NO,NO,NO,1,SELECTION_ONLY,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12
RP2_186,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_188,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_191,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_193,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_199,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_201,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_203,RULE_PROPERTY,TOP12_RANKING_DISPLACEMENT,7dc975fc6b2e031c,YES,YES,YES,YES,NO,NO,NO,1,SELECTION_ONLY,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12
RP2_204,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_205,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_207,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_208,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_212,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_215,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_216,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_227,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_228,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_229,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_231,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_232,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_238,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,EMPTY_DIRECT_TRANSITION_SET_AFTER_NO_VALID_SIDE_GEOMETRY
RP2_239,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_242,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_244,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_247,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_249,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_251,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_252,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_253,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_255,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_258,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_266,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_268,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_271,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_274,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_281,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_284,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_286,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_289,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_298,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_299,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_0,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_2,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_6,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_11,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_13,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_14,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_16,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_19,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_22,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_23,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_25,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_28,RULE_PROPERTY,TOP12_RANKING_DISPLACEMENT,6fdd7b453c007014,YES,YES,YES,YES,NO,NO,NO,1,SELECTION_ONLY,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12
RP3_30,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_32,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_39,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_40,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP3_41,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP3_43,RULE_PROPERTY,TOP12_RANKING_DISPLACEMENT,d06c00469050d84a,YES,YES,YES,YES,NO,NO,NO,1,SELECTION_ONLY,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12
